movie_id,contributor_id
1,69
2,65
3,8
4,70
5,57
6,13
7,2
8,47
9,86
10,95
11,91
12,68
13,83
14,97
15,61
16,45
17,19
18,73
19,50
20,18
21,48
22,24
23,16
24,11
25,25
26,71
27,23
28,56
29,29
30,75
31,43
32,37
33,85
34,30
35,32
36,21
37,93
38,90
39,63
40,44
41,87
42,88
43,52
44,1
45,59
46,46
47,58
48,76
49,96
50,38
51,3
52,79
53,74
54,89
55,82
56,9
57,34
58,92
59,5
60,55
61,80
62,15
63,98
64,40
65,62
66,39
67,22
68,33
69,20
70,14
71,72
72,54
73,7
74,99
75,94
76,81
77,17
78,10
79,67
80,49
81,4
82,60
83,64
84,31
85,78
86,36
87,41
88,12
89,42
90,26
91,27
92,84
93,6
94,53
95,66
96,28
97,100
98,35
99,51
100,77
