movie_id,contributor_id
1,78
1,55
2,38
2,47
2,69
2,96
3,38
3,81
3,43
3,42
4,84
4,44
5,94
5,28
6,20
8,28
8,78
8,94
9,67
10,95
11,30
13,85
13,86
13,21
13,16
15,55
15,50
17,42
17,30
17,33
18,15
18,50
19,15
20,9
23,82
23,50
24,11
24,20
25,2
25,41
25,44
26,90
26,42
26,11
26,88
27,82
27,49
28,39
28,30
28,81
28,20
29,45
29,16
29,19
30,6
30,79
30,30
31,81
32,69
32,1
33,9
33,65
33,40
36,43
36,17
36,29
39,10
40,21
40,68
40,45
40,86
41,2
42,40
42,16
42,86
42,2
43,1
43,17
43,78
44,42
44,81
45,94
45,40
47,86
48,3
49,43
49,9
49,21
49,44
51,95
51,15
53,85
54,67
54,6
54,82
54,50
55,16
56,39
56,86
56,95
57,39
57,84
57,79
58,81
58,15
59,31
59,86
60,40
60,1
60,45
60,29
61,38
61,95
62,3
62,19
63,1
63,9
63,40
63,63
64,67
64,50
65,12
65,33
65,28
66,33
66,3
67,50
68,19
68,85
68,82
69,42
69,31
70,83
70,94
70,42
71,69
72,15
72,49
73,1
73,12
73,50
73,33
77,94
77,67
77,55
78,82
78,16
78,30
78,59
80,15
80,68
81,41
81,40
81,58
85,30
85,95
85,68
85,9
86,88
88,19
88,50
89,63
90,82
91,36
92,58
92,17
92,95
92,86
93,64
93,45
93,95
94,50
94,95
94,9
95,55
95,90
95,31
95,49
96,15
96,36
96,82
96,33
97,90
100,2
100,96
100,40
100,30
