movie_id,contributor_id
1,74
2,73
2,76
3,24
3,61
4,98
4,62
4,46
5,52
6,74
6,34
7,73
8,34
8,35
9,32
10,53
10,34
11,80
12,23
13,80
14,91
15,77
16,66
17,35
17,61
17,60
18,73
18,23
19,99
20,24
21,35
21,99
21,93
22,76
23,61
24,8
25,66
25,77
26,76
27,54
27,91
28,74
28,91
29,52
29,8
30,74
31,98
32,4
32,97
33,97
33,71
34,32
34,80
34,8
35,73
35,34
35,52
36,34
37,62
37,18
37,35
38,62
39,77
39,4
40,35
41,98
42,61
42,24
42,74
43,8
43,73
43,32
44,54
44,66
44,34
45,62
45,71
46,46
46,76
47,66
47,62
48,62
48,76
49,60
49,24
49,97
50,73
50,77
50,60
51,76
51,73
51,23
52,26
52,18
52,61
53,71
53,62
53,18
54,76
54,53
55,26
55,23
56,71
56,23
57,80
57,72
57,73
58,61
58,18
58,35
59,23
60,54
60,52
60,26
61,77
62,4
62,60
62,46
63,54
64,53
65,74
65,46
65,99
66,8
67,80
68,8
68,52
68,76
69,71
70,46
71,4
72,24
72,18
73,71
73,32
74,23
74,7
75,4
75,99
75,52
76,32
76,24
76,54
77,4
77,24
77,62
78,8
78,66
79,32
79,24
79,72
80,53
80,99
80,77
81,60
81,32
81,52
82,60
83,18
83,26
84,73
85,18
85,91
85,4
86,35
86,60
87,32
87,23
88,8
89,71
89,99
90,23
91,53
91,77
91,18
92,52
92,71
93,8
94,46
95,76
95,74
95,26
96,54
96,53
97,80
97,7
97,77
98,93
98,24
99,8
99,73
100,77
